id,base_month_income,base_car_km,base_loan_rate,base_loan_monthrepay,base_car_years,base_ages,br_scoreafautofin,ir_id_x_cell_cnt,ir_m12_id_x_home_addr_cnt,ir_allmatch_days,als_m12_id_tot_mons,als_m12_id_max_monnum,als_m12_id_nbank_oth_orgnum,als_m12_id_nbank_allnum,als_lst_cell_bank_inteday,als_m12_id_nbank_tot_mons,als_m12_id_nbank_max_monnum,als_m12_id_rel_allnum,als_m12_id_nbank_cons_orgnum,als_m12_cell_bank_tra_allnum,als_m12_cell_nbank_cf_allnum,als_m12_id_nbank_finlea_allnum,als_m12_cell_af_allnum,als_m12_cell_pdl_allnum,als_m6_id_nbank_allnum,als_m6_id_max_monnum,als_m6_id_nbank_oth_orgnum,als_m6_id_nbank_tot_mons,als_m6_id_nbank_max_monnum,als_m3_id_nbank_allnum,als_m3_id_max_monnum,als_m3_id_nbank_oth_orgnum,als_m3_id_nbank_tot_mons,als_m3_id_nbank_max_monnum,als_d15_id_nbank_oth_allnum,fico_result,fico_app_cnt,base_is_guarantee,base_nation,base_is_local,base_has_rebuy,base_sex,zx_result,zx_is_baihu,zx_is_current_ovd,zx_is_credictcard_current_ovd,zx_is_lian3_lei6,loan_is_black,base_has_driverlicensce,zx_account_status,fraud_flag
Jm1vdsMO/XNuR3ES3XN9bPn9LpUeHz10ytfCjbyFfZA=,2,6,3,5,5,1,5,2,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,0
+0RRLCEvWPup/NJMBgQbnArYOZuUCqXE+3wvlISLJ3M=,3,3,3,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0
waiwhkaUgGnbMsiboLPW9zv/V5UdKq5QqfKb5458DwA=,2,2,3,1,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,2,-1,0
+8AhpQt6enebe5Ce+P4qc1MnPbuguH/vGszadhblZIo=,2,2,3,3,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
1S+aUkQe8plPsGR/WCStlboXYW5shXOnEv4qM8yzlw4=,2,5,1,1,5,4,5,3,3,6,4,2,-1,2,5,2,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+9SArD3OuLKlTF2UkxAWAmwx574CMQtrYoCpY1m5nq8=,3,6,3,5,5,2,3,2,2,3,2,2,-1,2,2,2,2,-1,-1,-1,2,-1,-1,-1,2,2,-1,2,2,2,2,-1,2,2,-1,3,3,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,3,-1,0
+9swOzynv+vcX/vmm8f2WE7Jxn1aTNJlAwTEwXGRaPs=,2,5,3,2,5,2,2,2,2,5,3,2,-1,-1,-1,-1,-1,3,-1,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,8,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+ABg2gua9Xui1DIE0b1WT9sR2wFaYcSvAv1UmKINXiI=,2,2,1,1,3,1,5,2,2,2,2,3,2,3,2,2,3,-1,-1,-1,-1,-1,2,2,3,3,2,2,3,3,3,2,2,3,2,5,2,1,1,1,1,1,1,1,-1,-1,-1,-1,2,-1,0
FmpiWpIauzOz7egHzfSFSxysw6on1cuvx0QJBT11vl8=,1,2,2,2,2,2,6,2,4,2,2,2,-1,2,2,2,2,-1,-1,-1,2,-1,-1,2,2,2,-1,2,2,2,2,-1,2,2,-1,4,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+AgA3Ukk9V38V5KDgYQwLua/PD4t5CNeKUHEuuPOqkQ=,5,4,2,5,5,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,0
